station,pred,datum,temperatur,nederbordsmangd,vindriktning,vindhastighet,lufttryck,daggpunktstemperatur,month,lag_temperatur
Station_1,111.71601038183341,2017-03-02,4.5,0.6,204.25,3.3000000000000003,1004.9250000000002,2.3958333333333326,3,3.1
Station_1,107.39057109857919,2017-03-03,4,1.9,94,3.2291666666666665,999.9749999999999,1.695833333333333,3,4.5
Station_1,109.04362390325517,2017-03-04,3.8,2.6,92.54166666666667,5.204166666666667,1000.1750000000001,1.7666666666666668,3,4
Station_1,109.14427869441693,2017-03-05,0.8,0.1,68.04166666666667,5.175,1007.4541666666668,-2.0124999999999997,3,3.8
Station_1,120.04170209633791,2017-03-06,-0.7,0,171.08333333333334,3.5374999999999996,1013.7666666666665,-4.754166666666667,3,0.8
Station_1,125.31538626333311,2017-03-07,0.5,1,194.95833333333334,3.862500000000001,1015.5749999999999,-2.529166666666667,3,-0.7
Station_1,119.50090199776056,2017-03-08,4.2,0.8,191.625,2.9250000000000003,1012.4499999999998,3.674999999999999,3,0.5
Station_1,108.34198364123557,2017-03-09,4.4,0,245.5,3.7708333333333335,1018.7708333333336,1.3,3,4.2
Station_1,107.64541610338499,2017-03-10,3.1,0,202.875,1.4083333333333332,1025.7041666666667,-0.43333333333333335,3,4.4
Station_1,112.12249714373823,2017-03-11,1.7,0,131.04166666666666,1.9583333333333337,1026.0833333333333,-1.3958333333333337,3,3.1
Station_1,116.89722413727479,2017-03-12,2.6,0,163.16666666666666,2.6374999999999997,1025.5666666666666,-0.02500000000000004,3,1.7
Station_1,112.11150043731172,2017-03-13,6.2,0,220.375,3.5124999999999997,1021.9333333333333,4.358333333333333,3,2.6
Station_1,102.06593119133443,2017-03-14,6.9,0,277.3333333333333,6.741666666666666,1019.9374999999999,2.4208333333333334,3,6.2
Station_1,99.99852687099089,2017-03-15,6.9,0.5,233.91666666666666,3.8708333333333322,1016.9166666666666,4.812499999999999,3,6.9
Station_1,99.44475654120883,2017-03-16,4.6,5.1,246.70833333333334,4.933333333333334,1002.8375,2.5208333333333335,3,6.9
Station_1,106.77606118829696,2017-03-17,2.5,2.6,262.9583333333333,4.125,994.5499999999998,1.3125000000000002,3,4.6
Station_1,114.29489835434374,2017-03-18,1.5,3.9,183.125,2.8166666666666664,1002.7583333333332,0.7999999999999998,3,2.5
